name,alternate_name,alternate_name_cite,petrographic_details,petrographic_details_cite,age,age_cite,appearance,appearance_cite,poisson_ratio_low,poisson_ratio_low_citation,poisson_ratio_high,poisson_ratio_high_citation,absorption,absorption_cite,quarry_location,quarry_location_cite,archaeological_sources,archaeological_sources_cite,primary_sources,primary_sources_cite,secondary_sources,secondary_sources_cite,shapefile,shapefile_cite,notes,notes_cite,beginning_date,beginning_date_cite,ending_date,ending_date_cite,dates_of_use,dates_of_use_cite,density_avg,density_avg_cite,density_low,density_low_cite,density_high,density_high_cite,elastic_modulus_average,elastic_modulus_average_cite,elastic_modulus_low,elastic_modulus_low_cite,elastic_modulus_high,elastic_modulus_high_cite,image,image_cite,rupture_modulus_average,rupture_modulus_average_cite,rupture_modulus_low,rupture_modulus_low_cite,rupture_modulus_high,rupture_modulus_high_cite,compressive_strength_average,compressive_strength_average_cite,compressive_strength_low,compressive_strength_low_cite,compressive_strength_high,compressive_strength_high_cite
granito bianco e nero gabino,"white and black granite gabino, granito del Uadi Fawakhir/Granite of Uadi Fawakhir, granitello bigio",24,between granodiorite and tonalite,24,,,purple/pink/white/blue; fine- to medium-grained,24; 14,0.2,295,0.3,295,,,Eastern Egyptian desert; Uadi Fawakhir,24; 24,"Columns: S.Croce in Jerusalem, S. Lorenzo fuori le Mura, Palazzo della Cancelleria",24,,,,,,,,,,,,,All examples are post-antiquity; exported in small amounts in the Imperial Period ,24; 14,,,,,,,,,,,,,image in folder,112,,,,,,,,,,,,
granito della colonna,"Granite of the Column, granito della flagellazione (granite of flagellation)",16,pegmatitic diorite,16,Precambrian,16,"light gray, light pink, green-black, coarse-grained",16,,,,,,,"Eastern Desert of Egypt, Wadi Umm Shegilat near Gebel Abu el-Hasan; exported to Rome in small amounts",16; 14,preserved in S. Prassede,186,"According to F. Belli, this stone is a light grayish background that goes to white, with large black oblong spots due to sections of unequally scattered hornbeam amphibole crystals",186,The most notable example in Rome of this stone is the two columns of this stone that support the ciborium of St. Saba,186,,,some examples in ancient mosques in Cairo ,186,1st century CE,16,2nd century CE;  used in Egypt and Rome until the 2nd century CE for columns and incrustations.,16; 293,,,,,,,,,,,,,,,image in folder,150,,,,,,,,,,,,
granito dell'Elba,granito grigio dell'Elba,12,Granite,14,,,"Medium-grained, gray tinted with pink, green, white",14,0.2,295,0.3,295,0.48,12,"Quarried from Monte Capanne, Elba; local and regional use, esp. in Italy",14,found in 3 basins near the church of S. Eustachio,306,,,,,,,,,,,,,Imperial Period,14,2640,12,2330,309,2940,309,,,,,,,image in folder,12,15.3,12,,,,,106.5,12,,,,
granito nero,"granito nero di Siene/black granite of Syene, granito bigio/nero antico (""ancient gray/black granite""); Aswan Black Granite","16, 12",granodiorite,16,Precambrian,16,"Black; coarse- to medium-grained with white/light gray/light green/pink phenocrysts (crystals), often porphyritic or gneissoid",14; 16,,,,,0.03,12,"Southern Egypt, Aswan",14,,,,,exploited in Dynastic Egypt ,117,,,"Quarried along with its more common counterpart, granito rosso di Aswan; samples can lie on a spectrum between the two ",14; 16 ,"Pharonic period; in Egyptian times, in the imperial period rarely for plastics and vessels",14; 289,,,"""Exported regionally from Pharaonic period and inter-regionally in Roman period""",14,2770,12,2530,309,2940,309,,,,,,,image in folder,12,32.41,12,,,,,204.1,12,,,,
Granito rosso antico,"granito rosso di Aswan/Red Aswan Granite, sienite; marmor thebaicus; granito egiziano; marmor syeniten, lapis syenites (Stone of Syene), lithos pyrrhopoecilus (red-spotted stone), lapis Aethiopicus (stone of Ethiopia); psaranus","24, 16, 25",granite,24,Precambrian,16,"red/purple/brown; coarsed-grained, often gneissoid or porphyritic",24; 16,0.2,295,0.3,295,0.15,12,Southern Egypt (Aswan) ,24,"Obelisks: Antinous, Pantheon, Montecitorio, Vatican. Columns: Pantheon, Tempio della Pace, portico of S. Maria Maggiore, atrium of S. Croce in Jerusalem, S. Lorenzo fuori le Mura, S. Giovanni in Laterano. Floor: S. Maria Maggiore, S. Paolo fuori le Mura; basins, statues.",24,Pliny claims that specks of gold are sometimes embedded within this stone,87,found in the palazzo Barberini,160,,,"Quarried along with its less common counterpart, granito nero; samples can lie on a spectrum between the two ",14; 16,Pharonic period ,14,,,Exported regionally from Pharaonic period and inter-regionally in Roman period,14,2670,12,2330,309,2940,309,,,,,,,image in folder,112,16,12,13.8,12,,,168,12,142,12,,
granito rosso antico minuto,"fine red granite, fine red Egyptian granite (granito Egizio carnino minuto)",16,granite,16,Precambrian,16,Either pink/reddish or light gray; medium- to fine-grained,24; 16,0.2,295,0.3,295,,,"Southern Egypt, Aswan",16,"The tetrapylon, Palmyra, red granite was often used with capitals and bases of local stone",125,,,"Red granite from Aswan was used in great quantity all over the Eastern Mediterranean with Rome, Lepcis Magna and Carthage being the only two western sites at which it has so far been recorded",124,,,A fairly fine-grained hornblende biotite granite/granodiorite hybrid.         ,112,,,,,,,2640,309,2330,309,2940,309,,,,,,,Image in folder,150,,,,,,,,,,,,
Granito verde della sedia,"lapis ophytes, ofite; ""snake-stone""; granito verde della sedia di San Lorenzo (variety 1), granito verde della sedia di San Pietro (variety 2)","24, 26, 16",Metagabbro,24,Precambrian,16,"grey/blue/white/green; two varieties, both speckled white and green ",24; 16,,,,,,,"Eastern Egyptian Desert, Uadi Semnah; Wadi Umm Wikala; mainly exported to Italy",24; 26; 14,"rotae: episcopal throne in S. Lorenzo fuori le Mura, Paliotto in the Sistine Chapel of S. Maria Maggiore, Flooring of S. Gregorio Magno. Columns: Palazzo Rondinini, Base of the statue of S. Pietro in Vaticano, tile, trapezophori ",24,"Harrell posits that Pliny the Elder was perhaps referring to this stone when he described marmor Augusteum; Pliny notes that it derives its name from serpent-like streaks; also mentioned in Natural History, 36.43",16; 99; 89,used for inlays in the decorative panels of the throne in the church of San Lorenzo in Rome,112,,,"Variety 1 is fine- to medium-grained; variety 2 is medium- to coarse-grained; this stone has also been known as 'ofite' because it was thought to come from Mons Ophyates (Wadi Semna). Others have suggested the name comes from 'ophytes' meaning snake, because it was used in Hellenistic times for amulets to ward of the effects of snake bites, a superstition that persisted in Roman times. Granito della Sedia di San Lorenzo comes from Precambrian basement rocks at Wadi Umm Wikala.         ",16; 112,1st century CE,16,2nd century CE,16,,,,,,,,,,,,,,,image in folder,150,,,,,,,,,,,,
granito verde fiorito di bigio,gray-flowered green granite,16,Quartz diorite,16,Precambrian,16,"speckled white, pale green and dark green, fine- to medium-grained",16,,,,,,,"Eastern Egyptian Desert, Wadi Umm Balad near Gebel Dokhan; mostly exported to Rome",16; 14,"Imperial palaces, Palatinein, small blocks, the Romans drew this stone, the so-called 'green flowered granite of bigio' - actually, a diorite- represents 'green granite of the chair' ",187,"In addition to wall covering slabs or floors, this diorite was also used for small columns of a few cm. in diameter, of which I have sometimes seen fragments",187, Some of this stone can still be seen in the floor of the Triclinium of the Domus Flavia,187,,,Found in Uadi Umm Tawat caves and the track that leads from Kena to Myos Hormos,187,1st century CE,16,4th century CE,16,,,,,,,,,,,,,,,image in folder,150,,,,,,,,,,,,
Granito violetto,"Purple granite, Marmor troadense",21,quarzomonzonite,21,,,Green/biege/white.,21,,,,,,,"Asia Minor: Exine, Monte Cigri Dâg.",21,"Columns: S. Stefano Rotondo, S. Gregorio Magno, S. Clemente, S. Prassede, Palazzo dei Conservatori, cripta dei SS. Bonifacio e Alessio. rotae: S. Gregorio Magno, Bases. ",21,an inscription located in the church of the Old Forum of Leptis Magna mentions columns of granito violetto,188,"Some of the most important and active quarries of state for this stone in the first quarter of the fifth century AD, were those of Docimio, the 'pavonazzetto', and those of Proconneso, ",188,,,another variety of this granite exists whoch is less resistant to atmospheric agents and probably less valuable,188,,,,,Used since the Classical Period but not exported until the Imperial Period,14,,,,,,,,,,,,,image in folder,184,,,,,,,,,,,,
greco scritto,,,Marble,19,,,"white/gray/blue; with black speckles; white background, partly shaded with turquoise ",19; 14; 190,0.2,295,0.3,295,,,"Algeria, Annaba, Cap de Gard.; Hasancavuslar, 19 km NE of Ephesos, Turkey ",19; 14,"Stones: S. Clemente. Columns: S. Clemente. Capitals, mirrors, cornices, mattonelle. ",19,,,an African marble used widely in Rome for covering slabs,190,,,used from the Severan Dynasty onwards,190,used for architectural pieces and stone furniture since the Middle Ages,283,,,Exported inter-regionally in the Roman period,14,2716,309,2510,309,3140,309,,,,,,,image in folder,112,,,,,,,,,,,,
Ham Hill Stone,North Perrott Stone; Hamstone,"20, 12","Limestone, Bridport Sand Formation ",20,Lower Jurassic Period,20,"Distinctive golden/brown colour often with a mottled appearance, sometime gray/buff; medium- to coarse-grained; two varieties: the more prominent Yellow Bed and the darker, more durable Grey Bed",20,0.2,295,0.3,295,,,"Quarried from around Ham Hill, Somerset, England; local use",20; 14,"Walls of the Roman town of Lindinis (modern Ilchester); coffin excavated at Poundbury, Dorchester, carved roof ornament (finial) of a villa at Dewlish, Dorset ",20,,,,,,,"Composed of broken shells cemented with calcium carbonate, limonite, and goethite, contains some quartz grains and ooliths",20,,,,,Imperial Period ,14,2484,309,1890,309,3010,309,,,,,,,image in folder,12,,,,,,,,,,,,
Kentish ragstone,Kentish Rag,20,"Limestone, Hythe Formation",20,Lower Cretaceous Period,20,"Contains a bluish-gray, coarse-grained, hard ""Ragstone"" layer and a gray, ""loamy, calcareous, glauconitic"" Hassock layer; layers range from 10-90 cm thick",20,0.2,295,0.3,295,0.6,307,"Quarried at Maidstone, NW Kent, Britain; local and regional use, esp. at London; discovered as cargo in a Roman ship at Blackfriars, London",14; 20,"Walls of Roman Londinium (modern London), 200 CE; medieval uses include the foundations of St. Paul's Cathedral, military walls, and castles across Kent",20,,,"Kentish ragstone is a hard, grey, limestone.  It is found in outcrops between Hythe and Maidstone, and has been used a s a building stone since Roman times.  Its properties make it ideal for the construction of substantail public buildings.",241,,,"85% calcium carbonate, with quartz and glauconite grains; ranges from a ""shelly limestone with scattered sand grains"" to a calcareous stone with enoiugh silica to count as sandstone instead of limestone; sometimes confused with the Reigate stone ",20,,,,,Imperial Period,14,2640,307,,,2650,307,,,,,,,image in folder,241,,,,,,,124,307,123,307,159,307
Ketton Freestone,,,Calcareous and Oolitic Limestone,20,Middle Jurassic Period,20,"Colour ranges from pale cream to brownish yellow/buff and from pale to warm pink, while a variety known as Ketton Rag sometimes features white veins",20,,,,,,,"Quarried around Ketton, Lincolnshire, England ",20,"Post-Roman Empire: used to build cathedrals, castles, colleges, etc. ",20,,,"In mediaeval times the building of ecclesiastical structures was the chief architectural accomplishment of the community, and Ketton Stone was employed within the fabric of the cathedrals of Peterborough, Ely and Exeter. Its further use in ecclesiastical architecture may be found in the church of St. Dunstans (London), York Minster and many Parish Churches in and around the Counties of Northamptonshire and Rutland.",242,,,"Very porous, easy to work, hardening on exposure, and an excellent stone to carve",20,,,,,"During the Roman occupation a large camp was  located at Great Casterton on the Great North Road,  near Ketton, and prominent geologists have declared that the quarries at Ketton were undoubtedly worked by the Romans to furnish stone for many important buildings erected at that time. Be that as it may, there is no question that the quarries have been worked for many centuries, and the Royal Charter granted by Edward I permitting the working of the Quarries and the winning of the Freestone was probably one of the earliest items of interest in the historical life of the village of Ketton",242,,,,,,,,,,,,,image in folder,243,,,,,,,,,,,,
verde ranocchia,"green frog, lapis batrachites/Frog stone, serpentina verde (""green serpent""), serpentina moschinata (""mossy serpent""), verde fiorito (""green flower"")",16,serpentinite,,Precambrian,16,"Fine-grained, light yellow-green/dark green;""with swirls of dark blue, grey, white and brown veins"" ",16; 14,,,,,0.15,308,"Eastern Egyptian Desert, Wadi Umm Esh ",16,,,,,"Is used in Italy, occasionally in the provinced, since the 1st century AD, not very often for deorations, rarely for sculptures",286,,,"Comes from the break area in Wadi Atallah in central Egypt, between the Nile and the Red Sea.",286,1st century CE,286,,,"""Exported from Pharaonic period but always in small quanitities""",14,2876.3,308,2240,309,3270,309,,,,,,,image in folder,112,,,,,,,180.29,308,,,,
lapis sarcophagus,stone of Assos,28,andesite,14,,,Maroon-red,14,,,,,,,"Quarried at Assos, in modern Behramkale, Turkey; local and regional use",14,"Sarcophagi, not mentioned in structural contexts",14,,,"this stone was used for sarcophagi in Ravenna, but not Rome",112,,,,,,,,,,,2565,309,1560,309,2990,309,,,,,,,image in folder,112,,,,,,,,,,,,
travertino di Tivoli,"lapis tiburtinus, stone of Tivoli",29,travertine,,"Formed about 170,000 years ago and depositing about .47 millimeters per year",29,Divided into strata,29,,,,,0.76,49,"Fosse di Tivoli, Villa Adriana,  Caprine Tivoli;Acque Albule basin, 30 km east of Rome",52; 53,"Temple of Antonino e Faustina;  Flavian amphitheatre; in the first century BCE, used as a damage-resistant façade for structures made of tuff - e.g., podium of Temple of Portunus (80 - 70 BCE), outer walkway of the Theater of Marcellus (23 - 11 BCE)",68; 69; 61,"Vitruvius (2.7.1-2) groups travertine among the ""moderate"" (temperatae) stones of Rome, in contrast to the softer tuffs and harder lavas and notes that travertine resists damage from storms and wet conditions; quarries mentioned in Strabo Geography 5.3.11; Pliny relates an anecdote in which Cicero, shown the walls of Chios built with Chian marble, quipped, ""I should be much more amazed if you had made it of stone from Tibur.""",73; 74; 100,,,,,"Composed of 95% calcium carbonate below formations of calcite and aragonite.;Different chemical compositions from each quarry- chart available; 3.99-23.38%, median 8.36%, coefficient of imbibition at 1400 hours 0.77-1.07% by weight, median 0.85% by weight. Resistance to flexion, perpendicular: 10.0-12.7 MPa, median 11.7 MPa. Parallel: 9.5-11.5 MPa, median 10.7 MPa. ",29; 52; 12,121 BCE,59,,,"Used from the end of the second century BCE ; earliest evidence dates to 121 BCE, in the Temple of Concord ",29; 59,2700,44,,,,,,,47900,48,57300,48,image in folder,244,15,49,,,,,104.8,50,,,,
lumachella orientale,lumachella d'egito,14,limestone,14,,,gray,14,0.2,295,0.3,295,,,"Quarried at Henchir el Kasbat, ancient Thuburbo Maius, Tunisia, and exported widely, mostly to Rome",14,"the armor of the supposed bust of Giordano Il, in the Capitoline Museums, fragments of this stone rarely exceed two or three centimeters, but more often and for the most part they are very small. The Romans apparently did not appreciate the reddish yellow spots, which appear in general at the margin of the fragments found, trying to obtain pieces whose dominant color was blackish gray or white",191,,,"This shell-like marble is made up of fragments of perhaps edible bigi, black or whitish oysters that stand out on a background that is usually light gray that sometimes pierces into a more or less lively yellow - which also dyes the fragments - and more rarely, in a beautiful coral red, this stone was commonly used for tiles of various shapes in houses and villas, small columns, trapezofori, fountains, tubs, small cladding slabs. Tiles of this irregularly cut pebble-shaped marble can still be seen in an aged floor at the latest Augustea, which was later preserved and conserved under the Ludus Magnus. In the Ercolano gym the 'oriental lumachella' is used in slabs of cm. 11.5 wide by 2.5 thick to frame Calcide marble mirrors.",191,,,a rare and precious marble ,191,1st century CE,14,96 CE,262; 259,"Exported after the Augustan period (early 1st century CE); Used in Italy from late republican to Flavian times for small columns, small sculptures and decorative plates",14; 262,2484,309,1890,309,3010,309,,,,,,,image in folder,159,,,,,,,,,,,,
lumachella rosea,,,lumachella limestone,14,,,creamy-pink with occasional flecks of red,14,0.2,295,0.3,295,,,"Quarried at Kairouan, Eastern Tunisia, near Sousse; local and probably regional use, also used locally in Winden, 40 km SE of Vienna, Austria",14,this stone is evident in a fragment of a column preserved in the Antiquarium,192,"Gnoli found an example of this stone in Rome with two half-columns in the ground floor of the Palazzo Sciarra. Numerous columns of this marble can be seen in Carthage, Tunis and Kairouan.",192,this lumachella was rarely imported in Italy,192,,,"It is mostly used in the country of origin, rarely in Rome.",263,,,,,"Imperial Period in Tunisia, Roman period in Austria",14,,,,,,,,,,,,,image in folder,193,,,,,,,,,,,,
bianco e nero antico,"marmo d'Aquitania, marmor celticum, bianco e nero antico di Francia, grand Antique o grand Deuil.; possibly the same as petit antique, noir grand antique marble","13, 12",breccia tettonica. ,13,,,"black/yellow; dark black (which sometimes passes to the cenerognolo), veined in candid white. In the dark part of this stone - which, as Belli says, is actually a black rock with angular fragments bound by a white cement - sometimes small, perfectly recognizable smallish white sea bodies appear.",13; 163,,,,,,,"France, Pirenei centrali, Aubert. ",13,"Columns: ciborio in S. Cecilia, cero pasquale in S. Maria Maggiore, Palazzo Barberini. Wall stones: altar of the Capella Paolina in S. Maria Maggiore. Paving stones: apse of S. Paolo fuori le Mura, room of the Muses in Palazzo Rondinini. Tarsie: Chies del Gesù. Piani di tavolo: palazzo Farnese, palazzo Doria Pamphilij. Zoccolature: S. Pietro in Vincoli, Cornices: S. Clemente. Balustrades: S. Sabina. Monument of Alessandro VII in S. Pietro in Vaticano. Sarcophagi. ",13,found on the walls of S. Sofia of Aquitania,163,"the monuments in which this marble is currently figured are of Giustinianean age (S. Apollinare in Classe, the four columns now on the sides of the entrance door, the columns of the baptistery of Salona, ​​the beautiful ones of the basilica of S. Eufemia in Grado, the mirrors on the walls of S. Sofia, etc.), also the sarcophagus of Anastasius I in Constantiopolis was made in marble of Aquitaine; The marble of Aquitaine is the only black and white marble used by the Romans",163; 165,,,the marble of Aquitania was extracted in the late era and was held in great value by the Romans; the marble of Aquitaine is rare in Rome... examples of it are the four columns that hold the tabernacle of St. Cecilia and two others in one of the rooms on the noble floor of Palazzo Barberini.,163; 165,4th century (probably CE); used in Rome since the late nineties CE.,163; 277,,,"Exported regionally during the Roman Imperial Period, later shipped to Rome; on the basis of literary sources it can be inferred that it probably began to be found in the IV-V century.",14; 163,2738,12,,,3000,309,,,,,,,Image in folder,164,,,,,,,98.4,50,,,,
marmo di Candoglia,"Candoglia Rose Italia, Candoglio, Marmo Rosa Valtoce Candoglia",12,marble ,14,,,pink,12,0.2,295,0.3,295,,,"Quarried at Candoglia, just west of Mergozzo, near Lago Maggiore, Italy; local and probably regional use",14,,,,,,,,,,,,,,,,,2716,309,2510,309,3140,309,,,,,,,image in folder,12,,,,,,,,,,,,
marmo di Carrara,"marmor lunense, marmo di Luni.",13,marble ,13,,,White/grey; blue-gray variety with dark veins (bardiglio) ,13; 14,0.2,295,0.3,295,0.29,49,"Itly, Tuscany, Apuane Alps, Carrara; Cava del Polvaccio, the Cava dei Fantiscritti, Cava della Carbonera, Canalgrande, Fossacava, Colonnata, Cava Gioia, Bedizzano, Torano, Scalochiello, Monte Strinato, area of 4 km^2; exported over vast territory during Imperial Period; shipped to Rome along the Tiber ",13; 26; 14,"Used to face tuff masonry; Columns: casa di Mamurra sul Celio, Traiana, Aureliana. Pilasters: S. Peter's, Paving stones in notable basilicas, wall stones in the podium of the Foro di Augusto: Arco di Costantino, acquasantiere (S. Maria in Campo Marzio. Temples: Apollo Sosiano, Saturno, della Concordia). Foro Italico. Ceri pasquali: monumenti: Ara Pacis Augustae, Piramide Cestia. Obelisk in Foro Italico. Statuary, Sarcophagus, Altar, Fountain, Architrave, Capitelli, Bases, Gradini, tarsie. ",61; 13,"C. Suetonius Tranquilus, Nero 50; Strabo praises the quarries at Luna, which supply ""monolithic slabs and columns"" for ""most of the superior works of art in Rome and the rest of the cities"" [[Geography 5.2.5]]; Pliny posits that the stone composed the columns of the house of Mamurra, ""the first person at Rome who covered the whole of the walls of his house with marble"" [[NH 36.7]]; also in NH 36.29",101; 54; 93; 75,It was probably Julius Caesar who first envisaged the exploitation of the marble deposit near Luna in Northern Italy; the large mass of marble required for the building of Augustan and Julio-Claudian Rome was white and was supplied by the quarries of Luna in the north of Italy,119; 120,,,the Temple of Apollo Palatinus built between 35 and 28 BC was constructed entirely of Luna marble,119,1st century BCE,61,,,Quarried beginning in the late first century BCE; Continuous use since Roman times,61; 26,2710,12,2510,309,3140,309,,,,,,,image in folder,195,12,49,,,19.8,49,,,,,,
granito misio,marmo misio,21,Granodiorite,21,,,Blue/Black/White/Beige,21,,,,,,,"Asia minor, Kozak, Bergama (Mysia); local use",21; 14,"Columns: in the Lupa of the Palazzo Senatorio in Campidogllio, S. Pancrazio, colonnette in the Obelisk of S. Peter.",21,,,,,,,,,,,,,,,2681,309,2530,309,2940,309,,,,,,,image in folder,112,,,,,,,,,118,12,132,12
marmo rosso di Taormina,Using physical properties of grigio Taormina,12,Breccia limestone,14,,,Red-pink,14,0.2,295,0.3,295,0.16,12,"Used locally and quarried from Taormina, NE Sicily",14,,,,,,,,,,,,,,,"Imperial Period, maybe earlier ",,2705,12,,,,,77000,12,,,,,image in folder,112,18,12,,,,,118,12,,,,
marmo Thaso,"Thasos-1, Thasos-2; marmor thasium, grechetto duro","14, 17",Dolomitic marble (Vathy) and Calcitic marble (Aliki),17,,,"Thasos-1: White, ""with large reflective crystals"", Thasos-2: white, medium- to coarse-grained",14,0.2,295,0.3,295,0.23,12,"Thasos-1 quarried at Aliki, Thasos, Greece; ""widely exported throughout antiquity"", Thasos-2 quarried at Cape Vathy, NE Thasos, also widely exported",14,"Wall and paving stones. Columns: 2 in the portico of SS. Giovanni and Paolo, ""infamous"" columns of the Isola Tiberina. Statue of Aphrodite Charis from the Domus Tiberiana. Cippi.",17,"Vitruvius, Architecture: 10.2.15; C. Suetonius Tranquillus, Nero 50; Pliny mentions as an alternative to Parian marble for sculpting [[Natural History 36.5.44]]",85; 101; 91, A rather coarse-grained white marble was occasionally found on the island of Anaphe,189,,,less frequently used than Pario ,189,3rd century CE,14,,,Thasos-2 mostly exported from 3rd century CE onward ,14,2850,12,,,,,,,,,,,image in folder,112,,,10,12,14.9,12,98,12,80,12,103,12
Mixon Limestone,Alveolina Limestone,20,Bioclastic Limestone,20,Eocene [[6]],20,"Cream/yellow; poorly sorted, coarse-grained, with an uneven texture",20,0.2,295,0.3,295,,,"Local use around Sussex, quarried from the Mixon reef, which now lies 1.5 miles off the coast of Selsey Bill, West Sussex, southern England; in Roman times, this site was on land, and archaeologists have found the alleged remains of a Roman fort and cannon balls; exported regionally",20; 14,"Building and foundation stone: stone facing of the west wing of Fishbourne Palace, several buildings in Chichester",20,,,,,,,,,,,,,Imperial Period,14,,,,,,,,,,,,,image in folder,245,,,,,,,,,,,,
nero antico,marmor taenarium; nero antico chiota,"19, 14",calcare carbonioso ,19,,,black/white/grey,19,,,,,,,"Tunisia, Numidia, Chemtou, Gebel Aziza. Greece, Peloponnese, Capo Tenaro, Capo Matapan, Chios.; Mani Peninsula; Asia Minor, Adapazari; Italy, Lazio, Palombino.;  Quarried at Ain el-Ksir near Chemtou, used locally and maybe regionally; Quarried at Djebel Aziz, central NE Tunisia",19; 14; 19; 14,"Columns: S. Maria in Araecoeli, S. Lorenzo in Lucina. [[1, 318]] Paving stones: S. Pietro in Vincoli, S. Giovanni in Laterano. Tables: palazzo Altemps. Statue: erme in the Museum Nazionale Romano.",19,"Strabo, Geography: 8.5.7; Pliny the Elder is perhaps referring to it when he classes the ""Taenarian stone"" among ""black stones…held in much the same esteem as the marbles"" [[HN 36.29]]",80; 102,"in addition to rosso antico, the mining of nero antico in Cape Tenario Matapan helped establish early commercial trade routes; used for columns, scultpures, and decorative panels ",129; 276,,,used in ancient times for tiles,196,used Rome since the 2nd century BCE,276,Used until the late antiquity,276,"Possibly exported from Cape Tainaro ""in Roman period and earlier"",Exported from Djebel Aziz during the Imperial Period, esp. to Rome ",14,,,,,,,,,,,,,image in folder,193,,,,,,,,,,,,
Newbald Stone,,,Oolitic limestone,20,Upper (Late) Jurassic [[6]],20,"Cream-colored, compact; contains medium rounded grains (ooliths) cemented by ""patches of crystalline calcite""",20,0.2,295,0.3,295,,,"Quarried around Newbald, England, near Kingston-upon Hull, East Yorkshire; used for building construction in York (Roman city of Eboracum) ",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image in folder,246,,,,,,,,,,,,
Occhio di pavone,"marmor sagarium; m. triptonicum, marmo occhiuto, ossipetro",21,calcare organogeno ,21,,,"red/orange/white; white veins, pale gray shades",21; 14,,,,,,,"Asia Minor, Izmit, Kutluca; quarried at Taskisiği, near Adapazari in Bithynia, modern Turkey",21; 14,"Columns: S. Maria della Minerva, Vatican Library. Paving stones: S. Clemente. crustae: S. Maria in Via Lata. Mirrors: S. Pancrazio. Sculptures: Conserved palla in niche at S. Maria in Trastevere. Thrones, Sarcophagi, basins",21,,,common in Rome and rare in Constantinople ,197,,,two columns in the fifth chapel on the right of the church of Minerva and two others in the Vatican Library.,197,,,,,"Exported between regions, Imperial Period (small amounts)",14,,,,,,,,,,,,,image in folder,193,,,,,,,,,,,,
Pavonazzetto,"marmor phrygium o docimium o synnadicum, Phrygian marble; Docimitus","23, 30 ",Marmo brecciato ,23,,,"blue/white/orange; ""pavonazetto"" refers to the thin gray/purple veins ",23; 26 ,,,,,,,"Asia minor, Iscehisar, Afyon; quarried in a 0.24 km^2 area near Dokimeion (Iscehisar), Exported to Milet or Ephesos by way of Synnada, Apameia, and Laodiceia ad Lycum; Çakırsaz, Upper Tembris valley, modern Turkey, light green variety at Krokeai, Southern Lakonia, Greece; exported inter-regionally ; shipped to Rome in slabs or pillars",23; 26; 14; 55,"Paving stones, often in opus sectile: Temple of Mars Ultor, Temple della Concordia, Basilica Giulia, Basilica Aemilia, Pantheon, Trajanic Forum, S. Paolo fuori le Mura, Vittoriano. Wall stones: Pantheon, Vestibule of S. Giovanni in Laterano, S. Paolo fuori le Mura, S. Lorenzo fuori le Mura. Statuary: Daci a Palazzo dei Conservatori. Columns: Basilica Ulpia, Pantheon, S. Lorenzo fuori le Mura, S. Paolo fuori le Mura, S. Clemente. Bases: Pantheon. Curia, sarcophagi",23,"Strabo compares its variety of colors to that of ""alabastrite marble""; Pliny mentions the Phrygian columns of the Basilica of Paulus [[Natural History 36.24; Pliny the Elder, Natural History 5.29; An inscription from Ephesus records the shipwreck off Punta Scifo near Crotone where eight columns of pavonazzetto were recovered, all either 12 or 20 Roman feet long",55; 79; 30; 122,exported to Rome by 1st century BCE ,119,,,"inscriptions on pavonazzetto from docimium suggest that quarries were managed by imperial freedmen; pavonazzetto columns and blocks from Phrygia and blocks from Proconnesos.The blocks were all roughed out, presumably to be sliced up for veneer, and the columns were in a finished state ",121; 125,used since the 2nd century BCE and for sculptures it was used since the 1st century to Byzantine times for columns and decorations.,281,,,Imperial Period,14,,,,,,,,,,,,,image in folder,112,,,,,,,,,,,,
Pentelic marble,"pentelico, lithos penteleikos o pentelesios, lithos pentelesin, marmor pentelicum; Dionyssos Kokkinara, Dionissos Penteli, Bianco Dionissos, Pentelicon","15, 12",Marble ,15,,,"White; fine-grained, ""honey-yellow shade"" ",15; 14,0.2,295,0.3,295,0.11,12,"Greece, Athens, Mount Pentelico",15,"Wall stones: Pantheon, Arch of Titus. Paving stones: capella lituana in S. Paolo fuori le Mura. Columns: tempio Rotondo nel Foro Boario, tempio di Giove Capitolino. Propileus: Portico of Ottavia. Capitals: S. Urbano alla Caffarella. Architraves: Basilica Ulpia, S. Urbano alla Caffarella. Statues",15,"Pausanias, Description of Greece: 1.19.6, 1.32.1, 5.6.6, 5.10.3, 6.21.2, 7.23.6, 7.25.9, 7.26.4, 8.28.1, 8.30.10, 8.47.1, 9.2.5, 9.25.3-4; Strabo, Geography: 9.1.23",103; 76,The Erechtheum on the Acropolis in Athens was constructed of Pentelic marble with grey Eleusinian limestone for the frieze,117,,,97-98% calcite; met 1st century BC Rome's demand for white marble ,12; 119,,,,,"Local use from the Archaic period, vast exportation during Roman times",14,2717,12,2510,309,3140,309,,,,,,,image in folder,247,19.5,12,,,,,112,12,,,,
